,rmse_pred,mae_pred,rmse_corr,mae_corr
0,1.3621277726056595,1.2467513733773847,1.1243155458357925,0.991392668388041
1,1.3879210753542095,1.2511916978594577,1.1926423572545328,1.0391072752893535
2,1.3712541337122504,1.2450685882412837,1.1627886276561965,1.0203795642743632
3,1.4401039144401802,1.3085843748805144,1.203862081308082,1.0559281308657396
4,1.4029583719170482,1.2728300387840397,1.1582801974475871,1.007977781607316
5,1.3804788402236816,1.2570630659673065,1.1434047958391718,1.0022639742511126
6,1.4153887724592447,1.2840931622123606,1.195201421326873,1.047514230905353
7,1.3787666757987285,1.2479562889131046,1.1189248283567967,0.9653726861040834
8,1.3916401034187,1.2618785072765473,1.1683436687401394,1.0215915365591275
9,1.388912269156013,1.250704096360613,1.1574282111642673,0.9991053466883439
10,1.4096404968986906,1.276761071838914,1.1781413310782873,1.0275367214499544
11,1.4247539821899342,1.290098510211519,1.205078013783439,1.0547245055951893
12,1.366768587703457,1.2413310489736142,1.1807229110705333,1.0419898778174006
13,1.393176112152924,1.262732264683561,1.1523791046238667,1.003290615100476
14,1.4057358057895786,1.2707885024683274,1.1947134782078173,1.0444091473565598
15,1.392235143807356,1.2494748755008565,1.1830267505090781,1.022568873322358
16,1.3779804696043865,1.2333002997644895,1.1725891005556497,1.0092570286867704
17,1.3568137044755846,1.2152579548145843,1.158331690697526,0.9989057841439223
18,1.3920966083647122,1.2591543575850925,1.1979181010056164,1.0507614682095672
19,1.3762330371035894,1.235940292670181,1.1590097817692075,1.0000693636061408
20,1.4040515465967358,1.2687295388493445,1.1876094105094046,1.0356106979318485
21,1.4015093641629295,1.2677637186268425,1.183490548947146,1.0335588854283013
22,1.3699849765393546,1.2349826761531506,1.156809677372631,1.0029093280091173
23,1.445439999244858,1.302029468612864,1.2314528302444583,1.072229551198885
24,1.4693522307827673,1.3214969716669538,1.2543412754911214,1.0896809829577103
25,1.4312359369931182,1.2875566141274521,1.2200725002928186,1.059776861749178
26,1.3804442271016457,1.2370513243704244,1.173170861370115,1.0110082352188487
27,1.434913612256798,1.292762033280416,1.2238626272980764,1.064748852062176
28,1.4012056988617814,1.2604880374655878,1.1927457324120057,1.033762452594915
29,1.407344627866143,1.2598959662190647,1.2051108971126294,1.0392219587355005
30,1.3906209518544836,1.2471187438121871,1.187957286839403,1.0258886804156853
31,1.3729617581656206,1.2257307798312043,1.1719326070140996,1.006580793719044
32,1.4303577544736763,1.2849261634427187,1.2283199812582963,1.0660741202946462
33,1.4117513951825578,1.269863933039178,1.209735955127031,1.0513621376729796
34,1.4495696643937857,1.3086579401176046,1.2456539826512067,1.0900707319633922
35,1.433198946603115,1.2842538235850234,1.2356296348415248,1.0703625461801127
36,1.4165624261328815,1.2831599224398182,1.2167820986374693,1.0698225645516446
37,1.3848467694059048,1.2531071045078006,1.1889753676338055,1.0426267455281042
38,1.4011276993287582,1.2516009824925234,1.2098217215963125,1.043556582874086
39,1.4221766964553508,1.2799008113443977,1.228876780123898,1.071697924093509
40,1.45265140039034,1.3048400187080316,1.2600766880941257,1.0977963932570896
41,1.4005188267236013,1.2705971619951146,1.2063231106691654,1.0643179169017427
42,1.4168276337891204,1.269130219255252,1.2289918844619898,1.065461112898011
43,1.4488457662432659,1.2990635906384134,1.2606783298123945,1.0961000493159017
44,1.4026003129554436,1.2657683861226159,1.2150512974071457,1.0639677315392868
45,1.4311946463497345,1.2794302288691366,1.2448811290504769,1.0788543144517526
46,1.4731196049876767,1.3305005930884515,1.2848819743837574,1.1302206241098365
47,1.4825107154587676,1.342323807150601,1.2934976999295813,1.1421165611363597
48,1.4732991346097914,1.3169676323233432,1.289181441102132,1.1186269585110233
49,1.4414796198252,1.2954862103722558,1.259284967144351,1.0991125834187476
50,1.4548913958633147,1.3028922283988513,1.2729905938538286,1.1070516469694929
51,1.4341628689176769,1.2936396295566204,1.2518621885007368,1.099104157922919
52,1.420867027673941,1.286436945053053,1.2376661252642749,1.092187019386422
53,1.4381352359072679,1.2921820071480212,1.2572960140863425,1.0991178390389926
54,1.459390609105778,1.3178658051477972,1.2788938657495958,1.1258089746695201
55,1.4160698442574966,1.2802868140887533,1.237646017470921,1.0891099276594418
56,1.4245736540768201,1.2834425472490933,1.2458761558633018,1.092387119667344
57,1.425022355393708,1.2835666946521305,1.2487189632432656,1.093884327970244
58,1.4631645099429569,1.3182314653306835,1.2862408978095095,1.1293997359932946
59,1.41814299966106,1.2782594773743767,1.2439011096080967,1.090563616999194
60,1.441350032510569,1.3003178681886522,1.2688600174862417,1.1142582986389864
61,1.4822707576682264,1.3376202946053024,1.3072555838006266,1.1509130854937804
62,1.4532050935120169,1.3148565166951605,1.280195036062351,1.1296468727563695
63,1.4114955394243982,1.2673004697651036,1.243358117786845,1.083213599559751
64,1.4376599473635951,1.2943501947006744,1.2682381411753947,1.1108152604291832
65,1.4230172200549969,1.2758898294931988,1.2558380170853498,1.093193680432091
66,1.433234858988427,1.2944528580115882,1.2641112802088743,1.1125067827845758
67,1.436580523679514,1.3079024325466932,1.26506064403146,1.1263829283698708
68,1.4378933662530842,1.3082538432297701,1.2692232544037627,1.1277075790541295
69,1.4531865061799591,1.3100146748079196,1.2859377032386863,1.1299678634958548
70,1.4476807497070885,1.3118542776689488,1.2807781833288874,1.132938090218302
71,1.4534234114588023,1.3210124415050966,1.285763835771579,1.1425792171286582
72,1.4624822313742551,1.3205375688024699,1.2971099270002018,1.1426300135295273
73,1.4094401903575797,1.2802895348221774,1.245465952485866,1.1037825427463805
74,1.4386366753678268,1.3073473073175967,1.2745423200115276,1.1312291397823124
75,1.458901936189438,1.3196975737362249,1.2990063882700833,1.1446157047596308
76,1.3798365599224036,1.2377524405421931,1.2243526916894218,1.0642236276429333
77,1.473028941123116,1.3349807299629988,1.3115936931132246,1.1604532891303874
78,1.4158241171217587,1.2786743940761478,1.259787523016235,1.1059643702657804
