lr,mamba_hidden,tcn_channels,huber_delta,r2,val_loss
0.001993845585092368,256,small,1.7606601954518832,0.5017532535369289,0.27891603319181335
0.002401142359169641,256,large,1.1291110924958596,0.4926239807363295,0.2597473158190648
0.0009424323160424667,128,large,1.8122165860223678,0.46909443372271065,0.29194100359799685
0.0009682555656596822,256,large,0.7637631708201821,0.38665779478580176,0.2483856233043803
0.0012335046783837986,128,large,0.592249255736498,0.45143005439674944,0.19876595634829114
0.000933866011911542,128,large,1.3525889244856861,0.5339798299903038,0.26450553819261213
0.0005846361398977077,256,small,0.5611609314435906,0.46093268530288,0.20960728455058955
0.0009909030943811977,128,small,1.9741480877262685,0.5108349319165627,0.27145285752636417
0.001281265535892891,128,small,0.8344746593965112,0.4531547110814207,0.23763293759138496
0.0010742935857612757,256,small,0.739492213608024,0.4982461712141931,0.22097801430909722
0.0005794402335291113,128,large,1.4615615111888987,0.43428898670103155,0.27389234787336103
0.000760991699186149,128,small,1.9783908091441211,0.4916142742005092,0.2872942287336897
0.001586212480824092,128,small,1.3951588541439155,0.5211960966063036,0.2689765432366618
0.0016384793417762496,128,large,1.3563606161574244,0.5437086518393863,0.27075073102282154
0.0016076013511042027,128,large,1.1288890821604807,0.47192022376861065,0.2581712602189294
0.0007702225879160906,128,large,1.5436767297680098,0.4284111136984027,0.287180098325566
0.0029822980257196495,128,large,1.2124851795365124,0.5401480827121958,0.25944685259902917
0.0029186855788534793,128,large,1.0414030202376687,0.5391007659818814,0.24139817183216414
0.002208866817924547,128,large,1.6159543202735267,0.5071698675006725,0.2865484088521313
0.002789905347023235,128,large,1.300828101767716,0.5306900443917024,0.2595823293344842
